,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
4849,1224405-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-12,WELLPET LLC,LAEM CHABANG,NEW YORK,4854.58,4106.29,748.29,4585.0,4854.58,269.58,17995.0,0.0,1.0,40,17995.36
4850,1224406-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-12,WELLPET LLC,LAEM CHABANG,NEW YORK,4772.57,3990.57,782.0,4540.0,4772.57,232.57,14404.0,0.0,1.0,40,14404.35
4852,1224408-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-12,WELLPET LLC,LAEM CHABANG,NEW YORK,5203.61,4356.61,847.0,4906.25,5203.61,297.36,15802.0,0.0,1.0,40,15801.55
4853,1224409-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-06,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3168.69,2331.34,837.35,3091.5,3168.69,77.19,4861.0,25.0,1.0,20DV,4861.34
4907,1224457-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-13,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3836.01,3538.91,297.1,3458.0,3688.01,230.01,14867.0,40.0,1.0,40',0.0
4908,1224458-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-19,WELLPET LLC,LAEM CHABANG,NEW YORK,4315.53,3502.24,813.29,4090.0,4315.53,225.53,18678.0,0.0,1.0,40,18678.2
4910,1224460-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-19,WELLPET LLC,LAEM CHABANG,NEW YORK,4389.49,3576.2,813.29,4090.0,4389.49,299.49,18122.0,0.0,1.0,40',18121.56
4912,1224462-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-19,WELLPET LLC,LAEM CHABANG,NEW YORK,4624.99,3722.99,902.0,4387.5,4624.99,237.49,19945.0,0.0,1.0,40,19944.6
4913,1224463-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-19,WELLPET LLC,LAEM CHABANG,NEW YORK,4311.9,3593.65,718.25,4090.0,4311.9,221.9,13806.0,40.0,1.0,40',13805.1
4914,1224464-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-19,WELLPET LLC,LAEM CHABANG,NEW YORK,4334.31,3502.31,832.0,4090.0,4334.31,244.31,19656.0,0.0,1.0,40,19656.28
4915,1224465-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-19,WELLPET LLC,LAEM CHABANG,NEW YORK,4411.14,3572.94,838.2,4196.25,4411.14,214.89,19635.0,0.0,1.0,40,19634.8
4956,1224494-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-27,WELLPET LLC,LAEM CHABANG,NEW YORK,4224.28,3471.08,753.2,4090.0,4224.28,134.28,9422.0,40.0,1.0,40',9422.4
4957,1224495-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-27,WELLPET LLC,LAEM CHABANG,NEW YORK,4498.7,3681.7,817.0,4262.5,4498.7,236.2,16282.0,40.0,1.0,40',16282.56
4967,1224501-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-27,WELLPET LLC,LAEM CHABANG,NEW YORK,4325.4,3553.4,772.0,4090.0,4325.4,235.4,17656.0,40.0,1.0,40',17656.08
4968,1224502-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-27,WELLPET LLC,LAEM CHABANG,NEW YORK,4340.8,3527.6,813.2,4090.0,4340.8,250.8,16118.0,40.0,1.0,40',16117.5
4969,1224503-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-27,WELLPET LLC,LAEM CHABANG,NEW YORK,4375.91,3543.91,832.0,4180.0,4375.91,195.91,15876.0,40.0,1.0,40',15876.56
