FILE_NO,REPORT_DATE,Month,Year,DATE_OPENED,DIVISION,BUSINESS_LINE,METHOD_OF_TRANSPORT,CUSTOMER_NAME,CUSTOMER_CITY,SHIPPER_NAME,CONSIGNEE_NAME,GROSS_WEIGHT,REVENUE,EXPENSE,PROFIT,DUTY_BILLED,TOTAL_BILLED_TO_ACCOUNT,Rev._Less_Duties
2211119-01,2020-01-13,Jan,2020,11/25/2019,20,25,OI,"KICTEAM, INC",AUBURN,UNICO TECHNOLOGY CO LTD,"KICTEAM, INC","1,224",984.1,1027.55,-43.45,3625.51,984.1,-2641.41
2211119-02,2020-01-13,Jan,2020,11/25/2019,20,25,OI,"KICTEAM, INC",AUBURN,DONGGUAN E-CO CLEAN MATERIAL TECH,"KICTEAM, INC","1,224",965.28,677.62,287.66,3625.51,965.28,-2660.23
2211120-01,2019-12-17,Dec,2019,11/26/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,963,1465.94,1282.23,183.71,1379,1465.94,86.94
2211121-01,2019-12-17,Dec,2019,11/26/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,792,859.04,608.76,250.28,791,859.04,68.04
2211122-01,2019-12-23,Dec,2019,11/26/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"2,026",3150,2854,296,2140.25,3150,1009.75
2211123-01,2020-01-24,Jan,2020,11/26/2019,20,25,OI,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING BV,EFI PLANT 1298 (AZ),190,1379.79,1116.29,263.5,73.24,1379.79,1306.55
2211124-01,2020-01-13,Jan,2020,11/27/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,370,683.64,497.6,186.04,421,683.64,262.64
2211125-01,2019-12-21,Dec,2019,11/27/2019,20,25,OI,P.A.T. PRODUCTS INC,HERMON,WILLY BENECKE GMBH,P.A.T. PRODUCTS INC,"15,770",2590,2210.27,379.73,,2590,2590
2211126-01,2019-12-26,Dec,2019,11/27/2019,20,25,OI,"ARTFORMS, INC.",BRUNSWICK,N.C. JOHN & SONS P LTD,"ARTFORMS, INC.",913,1984.58,1520.16,464.42,2697.26,1984.58,-712.68
2211127-01,2020-01-09,Jan,2020,11/27/2019,20,25,OI,"MALONE PADDLE GEAR, LLC",WESTBROOK,NINGBO BEILUN ONEFENG SPORTS PRODUC,"MALONE PADDLE GEAR, LLC","5,878",3851,3314.62,536.38,8070.53,3851,-4219.53
