,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
119400,1232519-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-07,WELLPET LLC,LAEM CHABANG,OAKLAND,6780.05,6188.54,591.51,6503.0,6780.05,277.05,15523.0,55.0,1.0,40HQ,15523.62
119429,1232234-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-29,WELLPET LLC,LAEM CHABANG,COLUMBUS,7375.9,6837.15,538.75,7181.0,7375.9,194.9,14266.0,55.0,1.0,40HQ,14266.08
119430,1232235-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-29,WELLPET LLC,LAEM CHABANG,COLUMBUS,7546.59,7009.84,536.75,7179.0,7546.59,367.59,16072.0,55.0,1.0,40HQ,16072.4
119439,1232237-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-29,WELLPET LLC,LAEM CHABANG,COLUMBUS,7493.9,6970.15,523.75,7136.0,7493.9,357.9,16344.0,55.0,1.0,40HQ,16344.68
119463,1232520-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-07,WELLPET LLC,LAEM CHABANG,OAKLAND,6787.87,6162.67,625.2,6503.0,6787.87,284.87,18253.0,55.0,1.0,40HQ,18253.0
119496,1232523-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-11,WELLPET LLC,LAEM CHABANG,COLUMBUS,8351.25,7842.33,508.92,8117.0,8351.25,234.25,13944.0,0.0,1.0,40HQ,13944.0
119701,1232562-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8797.18,8078.93,718.25,8527.0,8797.18,270.18,19889.0,55.0,1.0,40HQ,19888.8
119815,1232564-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-18,WELLPET LLC,LAEM CHABANG,OAKLAND,6803.83,6275.32,528.51,6503.0,6803.83,300.83,17141.0,55.0,1.0,40HQ,17141.18
119837,1232239-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-26,WELLPET LLC,LAEM CHABANG,COLUMBUS,7636.59,7049.1,587.49,7406.0,7636.59,230.59,17719.0,55.0,1.0,40HQ,17719.0
119900,1232566-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8827.91,8094.66,733.25,8572.0,8827.91,255.91,18255.0,55.0,1.0,40HQ,18254.76
119903,1232567-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8762.19,4759.44,4002.75,8482.0,8762.19,280.19,19056.0,55.0,1.0,40HQ,19056.4
120108,1232569-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8776.29,8058.04,718.25,8527.0,8776.29,249.29,171778.0,55.0,1.0,40HQ,17177.6
120146,1232571-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8762.28,8044.03,718.25,8527.0,8762.28,235.28,19424.0,55.0,1.0,40HQ,19424.0
120244,1232572-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8688.14,8041.92,646.22,8437.0,8688.14,251.14,15495.0,55.0,1.0,40HQ,15495.0
120251,1232574-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8824.59,8106.34,718.25,8527.0,8824.59,297.59,18159.0,55.0,1.0,40HQ,18159.12
120644,1232583-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-14,WELLPET LLC,LAEM CHABANG,COLUMBUS,8762.17,8043.92,718.25,8527.0,8762.17,235.17,17622.0,55.0,1.0,40HQ,17622.0
